Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Chrome,Success,3,0,2016-08-23 08:43:22 -0700,2016-08-23 08:46:45 -0700,0:00:00
Index,Failure,25,22,2016-08-18 11:58:15 -0600,2016-08-23 08:53:27 -0700,0:01:01
